game_id,round_index,player_id,round_begin_ts,player_move,player_rt,player_outcome,player_points,player_total
476614b1-3c2e-4acd-afcc-001b4dcb570a,18,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849095078,scissors,1173,loss,-1,10
476614b1-3c2e-4acd-afcc-001b4dcb570a,19,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849098622,paper,1911,win,3,21
476614b1-3c2e-4acd-afcc-001b4dcb570a,19,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849098622,rock,1323,loss,-1,9
476614b1-3c2e-4acd-afcc-001b4dcb570a,20,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849102167,scissors,2447,win,3,24
476614b1-3c2e-4acd-afcc-001b4dcb570a,20,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849102167,paper,658,loss,-1,8
476614b1-3c2e-4acd-afcc-001b4dcb570a,21,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849106054,scissors,1646,tie,0,27
476614b1-3c2e-4acd-afcc-001b4dcb570a,21,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849106054,scissors,820,tie,0,7
476614b1-3c2e-4acd-afcc-001b4dcb570a,22,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849108927,paper,1383,loss,-1,27
476614b1-3c2e-4acd-afcc-001b4dcb570a,22,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849108927,scissors,1467,win,3,7
476614b1-3c2e-4acd-afcc-001b4dcb570a,23,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849114255,paper,494,tie,0,26
476614b1-3c2e-4acd-afcc-001b4dcb570a,23,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849114255,paper,1580,tie,0,10
476614b1-3c2e-4acd-afcc-001b4dcb570a,24,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849117720,paper,741,win,3,26
476614b1-3c2e-4acd-afcc-001b4dcb570a,24,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849117720,rock,1008,loss,-1,10
476614b1-3c2e-4acd-afcc-001b4dcb570a,25,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849121103,paper,414,tie,0,29
476614b1-3c2e-4acd-afcc-001b4dcb570a,25,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849121103,paper,1163,tie,0,9
476614b1-3c2e-4acd-afcc-001b4dcb570a,26,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849124214,scissors,368,win,3,29
476614b1-3c2e-4acd-afcc-001b4dcb570a,26,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849124214,paper,1859,loss,-1,9
476614b1-3c2e-4acd-afcc-001b4dcb570a,27,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849127574,rock,1647,win,3,32
476614b1-3c2e-4acd-afcc-001b4dcb570a,27,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849127574,scissors,1828,loss,-1,8
476614b1-3c2e-4acd-afcc-001b4dcb570a,28,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849130854,scissors,1911,loss,-1,35
476614b1-3c2e-4acd-afcc-001b4dcb570a,28,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849130854,rock,884,win,3,7
476614b1-3c2e-4acd-afcc-001b4dcb570a,29,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849134047,paper,3318,tie,0,34
476614b1-3c2e-4acd-afcc-001b4dcb570a,29,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849134047,paper,2395,tie,0,10
476614b1-3c2e-4acd-afcc-001b4dcb570a,30,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849138400,rock,1486,win,3,34
476614b1-3c2e-4acd-afcc-001b4dcb570a,30,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849138400,scissors,1227,loss,-1,10
476614b1-3c2e-4acd-afcc-001b4dcb570a,31,960a15dd-c442-4693-a55d-0096fe8c14b3,1566849141663,rock,199,tie,0,37
476614b1-3c2e-4acd-afcc-001b4dcb570a,31,6ac3a837-c8cc-4bd0-9cd9-40d6dcd6c0c1,1566849141663,rock,1396,tie,0,9
